Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2015,2015,2015,1,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,414576832,,,0
S4,2015,2015,2015,1,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,169937919,,,0
S4,2015,2015,2015,1,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,2339109404,,,0
S4,2015,2015,2015,1,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,33348366568,,,0
S4,2015,2015,2015,1,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,114209985,,,0
S4,2015,2015,2015,1,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,39820,,,0
S4,2015,2015,2015,1,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,1411153367,,,4
S4,2015,2015,2015,1,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,31894838588,,,0
S4,2015,2015,2015,1,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,77143361,,,0
S4,2015,2015,2015,1,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,287452,,,0
S4,2015,2015,2015,1,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,,,150094863,,,4
S4,2015,2015,2015,1,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,,,11187119539,,,4
S4,2015,2015,2015,1,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,,,6580862206,,,4
S4,2015,2015,2015,1,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,1441514405,,,4
S4,2015,2015,2015,1,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,21747499765,,,0
S4,2015,2015,2015,1,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,47494162199,,,0
S4,2015,2015,2015,1,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,,,11672156965,,,4
S4,2015,2015,2015,1,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,2849124659,,,4
S4,2015,2015,2015,1,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,535306194,,,0
S4,2015,2015,2015,1,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,70349936,,,0
S4,2015,2015,2015,1,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,4194361159,,,4
S4,2015,2015,2015,1,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,5165237123,,,4
S4,2015,2015,2015,1,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,5219937884,,,0
S4,2015,2015,2015,1,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,178120909,,,0
S4,2015,2015,2015,1,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,673716410,,,0
S4,2015,2015,2015,1,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,92391607,,,0
S4,2015,2015,2015,1,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,36216694128,,,4
S4,2015,2015,2015,1,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,22277497858,,,4
S4,2015,2015,2015,1,0,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,91723895,,,0
S4,2015,2015,2015,1,0,2,Export,60,Bermuda,BMU,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,4110,,,0
S4,2015,2015,2015,1,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,1149785015,,,4
S4,2015,2015,2015,1,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,4032670535,,,0
S4,2015,2015,2015,1,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,1215579273,,,0
S4,2015,2015,2015,1,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,357452966,,,0
S4,2015,2015,2015,1,0,1,Import,72,Botswana,BWA,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,,,1671891683,,,4
S4,2015,2015,2015,1,0,2,Export,72,Botswana,BWA,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,0,,30441604,,,4
S4,2015,2015,2015,1,0,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,,,28077709448,,,0
S4,2015,2015,2015,1,0,2,Export,76,Brazil,BRA,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,0,,,,,,13747800536,,,0
S4,2015,2015,2015,1,0,1,Import,84,Belize,BLZ,0,World,WLD,,,,,,,,3,"Mineral fuels, lubricants and related materials",1,No Quantity,,,,,,,110886114,,,0
